,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2012-13,Qld,Hospitals,Private hospitals,Non-government,Individuals,"32,73,53,919","41,84,35,663",71,91
2012-13,Qld,Hospitals,Private hospitals,Non-government,Other sources of fund,"14,48,68,640","18,51,76,355",31,40
2012-13,Qld,Hospitals,Private hospitals,State and local government,State and local government,"4,92,84,000","6,29,96,598",11,14
2012-13,Qld,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"9,08,84,970","11,61,72,468",20,25
2012-13,Qld,Hospitals,Public hospital services,Australian Government,DoHAC and other,"3,01,05,22,133","3,84,81,58,685",653,835
2012-13,Qld,Hospitals,Public hospital services,Australian Government,Premium rebates,"3,95,82,403","5,05,95,664",9,11
2012-13,Qld,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"9,11,70,326","11,65,37,221",20,25
2012-13,Qld,Hospitals,Public hospital services,Non-government,Individuals,"29,06,14,967","37,14,74,601",63,81
2012-13,Qld,Hospitals,Public hospital services,Non-government,Other sources of fund,"50,15,77,382","64,11,34,419",109,139
2012-13,Qld,Hospitals,Public hospital services,State and local government,State and local government,"4,52,89,37,366","5,78,90,52,160",982,"1,255"
2012-13,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"7,70,70,000","9,98,79,163",17,22
2012-13,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-7,70,70,000","-9,98,79,163",-17,-22
2012-13,Qld,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,Qld,Other services,Administration,Australian Government,DoHAC and other,"21,92,53,576","28,41,42,515",48,62
2012-13,Qld,Other services,Administration,Australian Government,Premium rebates,"9,74,81,506","12,63,31,533",21,27
2012-13,Qld,Other services,Administration,Non-government,Health Insurance Funds,"22,45,31,357","29,09,82,276",49,63
2012-13,Qld,Other services,Administration,State and local government,State and local government,"13,32,46,847","17,26,81,764",29,37
2012-13,Qld,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"4,95,000","5,80,363",0,0
2012-13,Qld,Other services,Aids and appliances,Australian Government,DoHAC and other,"8,69,87,364","10,19,88,344",19,22
2012-13,Qld,Other services,Aids and appliances,Australian Government,Premium rebates,"4,67,56,549","5,48,19,721",10,12
2012-13,Qld,Other services,Aids and appliances,Non-government,Health Insurance Funds,"10,76,95,418","12,62,67,503",23,27
2012-13,Qld,Other services,Aids and appliances,Non-government,Individuals,"50,15,51,025","58,80,43,550",109,128
2012-13,Qld,Other services,Aids and appliances,Non-government,Other sources of fund,"97,59,969","1,14,43,077",2,2
2012-13,Qld,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"2,32,83,000","2,97,61,176",5,6
2012-13,Qld,Other services,Patient transport services,Australian Government,DoHAC and other,"1,54,15,594","1,97,04,771",3,4
2012-13,Qld,Other services,Patient transport services,Australian Government,Premium rebates,"87,815","1,12,248",0,0
2012-13,Qld,Other services,Patient transport services,Non-government,Health Insurance Funds,"2,02,266","2,58,544",0,0
2012-13,Qld,Other services,Patient transport services,Non-government,Other sources of fund,"51,32,931","65,61,098",1,1
2012-13,Qld,Other services,Patient transport services,State and local government,State and local government,"66,14,71,328","84,55,16,666",143,183
2012-13,Qld,Primary health care,All other medications,Australian Government,DoHAC and other,"10,20,09,186","11,36,25,331",22,25
2012-13,Qld,Primary health care,All other medications,Australian Government,Premium rebates,"45,30,201","50,46,071",1,1
2012-13,Qld,Primary health care,All other medications,Non-government,Health Insurance Funds,"1,04,34,514","1,16,22,729",2,3
2012-13,Qld,Primary health care,All other medications,Non-government,Individuals,"1,67,58,37,393","1,86,66,70,888",363,405
2012-13,Qld,Primary health care,All other medications,Non-government,Other sources of fund,"70,80,931","78,87,262",2,2
2012-13,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"9,95,28,487","13,64,67,772",22,30
2012-13,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,55,55,88,005","2,13,29,33,351",337,463
2012-13,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"31,02,28,336","42,53,67,360",67,92
2012-13,Qld,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"1,06,582","1,38,125",0,0
2012-13,Qld,Primary health care,Community health and other,Australian Government,DoHAC and other,"23,44,72,544","30,38,65,596",51,66
2012-13,Qld,Primary health care,Community health and other,Australian Government,Premium rebates,"55,658","72,131",0,0
2012-13,Qld,Primary health care,Community health and other,Non-government,Health Insurance Funds,"1,28,199","1,66,140",0,0
2012-13,Qld,Primary health care,Community health and other,Non-government,Individuals,"1,25,06,000","1,62,07,199",3,4
2012-13,Qld,Primary health care,Community health and other,Non-government,Other sources of fund,"2,70,00,946","3,49,91,980",6,8
2012-13,Qld,Primary health care,Community health and other,State and local government,State and local government,"1,96,07,60,023","2,54,10,54,493",425,551
2012-13,Qld,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"3,04,81,635","3,44,03,188",7,7
2012-13,Qld,Primary health care,Dental services,Australian Government,DoHAC and other,"14,55,59,943","16,42,86,660",32,36
2012-13,Qld,Primary health care,Dental services,Australian Government,Premium rebates,"12,59,42,848","14,21,45,768",27,31
2012-13,Qld,Primary health care,Dental services,Non-government,Health Insurance Funds,"29,00,87,011","32,74,07,563",63,71
2012-13,Qld,Primary health care,Dental services,Non-government,Individuals,"57,11,08,132","64,45,82,881",124,140
2012-13,Qld,Primary health care,Dental services,Non-government,Other sources of fund,"88,55,459","99,94,740",2,2
2012-13,Qld,Primary health care,Dental services,State and local government,State and local government,"16,89,98,940","19,07,41,153",37,41
2012-13,Qld,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"7,24,16,882","9,78,49,897",16,21
2012-13,Qld,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"22,11,35,927","29,87,99,496",48,65
2012-13,Qld,Primary health care,Other health practitioners,Australian Government,Premium rebates,"5,55,53,299","7,50,63,777",12,16
2012-13,Qld,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"12,79,57,171","17,28,96,094",28,37
2012-13,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"54,03,06,214","73,00,63,299",117,158
2012-13,Qld,Primary health care,Other health practitioners,Non-government,Other sources of fund,"6,94,51,873","9,38,43,568",15,20
2012-13,Qld,Primary health care,Public health,Australian Government,DoHAC and other,"21,71,16,467","27,75,26,151",47,60
2012-13,Qld,Primary health care,Public health,Non-government,Individuals,"80,28,000","1,02,61,681",2,2
2012-13,Qld,Primary health care,Public health,State and local government,State and local government,"11,26,76,171","14,40,26,772",24,31
2012-13,Qld,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,45,88,807","5,29,95,421",10,11
2012-13,Qld,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"1,50,99,98,422","1,79,46,88,097",327,389
2012-13,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"14,20,69,271","16,88,54,501",31,37
2012-13,Qld,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"17,05,99,835","20,27,64,114",37,44
2012-13,Qld,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"25,32,76,897","30,10,28,813",55,65
2012-13,Qld,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"2,16,91,48,137","2,57,81,11,530",470,559
2012-13,Qld,Referred medical services,Referred medical services,Australian Government,Premium rebates,"11,27,87,382","13,40,51,910",24,29
2012-13,Qld,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"25,97,85,728","30,87,64,795",56,67
2012-13,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"48,46,46,591","57,60,20,117",105,125
2012-13,Qld,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,Qld,Research,Research,Australian Government,DoHAC and other,"66,36,84,493","86,01,04,472",144,187
2012-13,Qld,Research,Research,Non-government,Other sources of fund,"5,13,62,873","6,65,63,912",11,14
2012-13,Qld,Research,Research,State and local government,State and local government,"19,14,07,840","24,80,55,727",42,54
2012-13,SA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"70,58,824","77,34,336",4,5
2012-13,SA,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"6,93,29,233","8,85,99,695",42,53
2012-13,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"23,00,00,000","30,37,77,943",138,183
2012-13,SA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"4,78,52,309","6,20,35,375",29,37
2012-13,SA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"1,04,02,869","1,34,86,202",6,8
2012-13,SA,Hospitals,Private hospitals,Australian Government,Premium rebates,"17,79,20,611","23,06,54,947",107,139
2012-13,SA,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"40,98,05,344","53,12,68,577",246,319
2012-13,SA,Hospitals,Private hospitals,Non-government,Individuals,"7,90,27,699","10,24,50,916",48,62
2012-13,SA,Hospitals,Private hospitals,Non-government,Other sources of fund,"4,33,03,887","5,61,38,835",26,34
2012-13,SA,Hospitals,Private hospitals,State and local government,State and local government,"52,27,000","67,76,244",3,4
2012-13,SA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"5,80,55,470","7,52,62,676",35,45
2012-13,SA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"1,17,26,61,093","1,52,02,29,054",705,914
2012-13,SA,Hospitals,Public hospital services,Australian Government,Premium rebates,"1,77,85,460","2,30,56,937",11,14
2012-13,SA,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"4,09,65,330","5,31,07,147",25,32
2012-13,SA,Hospitals,Public hospital services,Non-government,Individuals,"4,33,87,300","5,62,46,970",26,34
2012-13,SA,Hospitals,Public hospital services,Non-government,Other sources of fund,"12,31,84,153","15,96,95,013",74,96
2012-13,SA,Hospitals,Public hospital services,State and local government,State and local government,"2,04,49,05,535","2,65,10,00,213","1,230","1,594"
2012-13,SA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"1,95,72,000","2,58,82,767",12,16
2012-13,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,95,72,000","-2,58,82,767",-12,-16
2012-13,SA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,SA,Other services,Administration,Australian Government,DoHAC and other,"8,27,34,221","10,94,10,921",50,66
2012-13,SA,Other services,Administration,Australian Government,Premium rebates,"3,58,88,646","4,74,60,528",22,29
2012-13,SA,Other services,Administration,Non-government,Health Insurance Funds,"8,26,63,129","10,93,16,906",50,66
2012-13,SA,Other services,Administration,State and local government,State and local government,0,0,0,0
2012-13,SA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,SA,Other services,Aids and appliances,Australian Government,DoHAC and other,"3,41,64,110","4,00,55,714",21,24
2012-13,SA,Other services,Aids and appliances,Australian Government,Premium rebates,"1,99,00,540","2,33,32,390",12,14
2012-13,SA,Other services,Aids and appliances,Non-government,Health Insurance Funds,"4,58,37,363","5,37,42,021",28,32
2012-13,SA,Other services,Aids and appliances,Non-government,Individuals,"15,86,77,725","18,60,41,715",95,112
2012-13,SA,Other services,Aids and appliances,Non-government,Other sources of fund,"1,47,82,348","1,73,31,565",9,10
2012-13,SA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"69,93,000","90,65,673",4,5
2012-13,SA,Other services,Patient transport services,Australian Government,DoHAC and other,"67,94,772","88,08,692",4,5
2012-13,SA,Other services,Patient transport services,Australian Government,Premium rebates,"71,90,411","93,21,595",4,6
2012-13,SA,Other services,Patient transport services,Non-government,Health Insurance Funds,"1,65,61,837","2,14,70,641",10,13
2012-13,SA,Other services,Patient transport services,Non-government,Individuals,"8,08,57,469","10,48,23,017",49,63
2012-13,SA,Other services,Patient transport services,Non-government,Other sources of fund,"1,00,75,263","1,30,61,496",6,8
2012-13,SA,Other services,Patient transport services,State and local government,State and local government,"12,81,87,494","16,61,81,307",77,100
2012-13,SA,Primary health care,All other medications,Australian Government,DoHAC and other,"3,96,63,196","4,38,11,372",24,26
2012-13,SA,Primary health care,All other medications,Australian Government,Premium rebates,"18,60,911","20,55,534",1,1
