eInjury_01,DiagnosisCodeDescr
T71.164A,"Asphyxiation due to hanging, undetermined, initial encounter"
T71.19,Asphyxiation due to mechanical threat to breathing due to other causes
T71.191,"Asphyxiation due to mechanical threat to breathing due to other causes, accidental"
T71.192,"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm"
T71.193,"Asphyxiation due to mechanical threat to breathing due to other causes, assault"
T71.194,"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined"
T71.194A,"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined, initial encounter"
T71.2,Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air
T71.20,Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause
T71.21,Asphyxiation due to cave-in or falling earth
T71.22,Asphyxiation due to being trapped in a car trunk
T71.221,"Asphyxiation due to being trapped in a car trunk, accidental"
T71.223,"Asphyxiation due to being trapped in a car trunk, assault"
T71.224,"Asphyxiation due to being trapped in a car trunk, undetermined"
T71.23,Asphyxiation due to being trapped in a (discarded) refrigerator
T71.232,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm"
T71.233,"Asphyxiation due to being trapped in a (discarded) refrigerator, assault"
T71.29,Asphyxiation due to being trapped in other low oxygen environment
T71.9,Asphyxiation due to unspecified cause
T71.9XXA,"Asphyxiation due to unspecified cause, initial encounter"
T73.3,Exhaustion due to excessive exertion
T74.01,"Adult neglect or abandonment, confirmed"
T74.02,"Child neglect or abandonment, confirmed"
T74.1,"Physical abuse, confirmed"
T74.11,"Adult physical abuse, confirmed"
T74.11XA,"Adult physical abuse, confirmed, initial encounter"
T74.12,"Child physical abuse, confirmed"
T74.12XA,"Child physical abuse, confirmed, initial encounter"
T74.2,"Sexual abuse, confirmed"
T74.21,"Adult sexual abuse, confirmed"
T74.21XA,"Adult sexual abuse, confirmed, initial encounter"
T74.22,"Child sexual abuse, confirmed"
T74.31,"Adult psychological abuse, confirmed"
T74.91XA,"Unspecified adult maltreatment, confirmed, initial encounter"
T75,Other and unspecified effects of other external causes
T75.0,Effects of lightning
T75.00,Unspecified effects of lightning
T75.01,Shock due to being struck by lightning
T75.09,Other effects of lightning
T75.1,Unspecified effects of drowning and nonfatal submersion
T75.2,Effects of vibration
T75.20,Unspecified effects of vibration
T75.22,Traumatic vasospastic syndrome
T75.23,Vertigo from infrasound
T75.29,Other effects of vibration
T75.3,Motion sickness
T75.4,Electrocution
T75.4XXA,"Electrocution, initial encounter"
T75.4XXS,"Electrocution, sequela"
T75.8,Other specified effects of external causes
T75.81,Effects of abnormal gravitation [G] forces
T75.89,Other specified effects of external causes
T75.89XA,"Other specified effects of external causes, initial encounter"
T76,"Adult and child abuse, neglect and other maltreatment, suspected"
T76.0,"Neglect or abandonment, suspected"
T76.01,"Adult neglect or abandonment, suspected"
T76.02,"Child neglect or abandonment, suspected"
T76.02XA,"Child neglect or abandonment, suspected, initial encounter"
T76.1,"Physical abuse, suspected"
T76.11,"Adult physical abuse, suspected"
T76.12,"Child physical abuse, suspected"
T76.12XA,"Child physical abuse, suspected, initial encounter"
T76.2,"Sexual abuse, suspected"
T76.21,"Adult sexual abuse, suspected"
T76.22,"Child sexual abuse, suspected"
T76.3,"Psychological abuse, suspected"
T76.31,"Adult psychological abuse, suspected"
T76.31XA,"Adult psychological abuse, suspected, initial encounter"
T76.32,"Child psychological abuse, suspected"
T76.9,"Unspecified maltreatment, suspected"
T76.91,"Unspecified adult maltreatment, suspected"
T76.91XA,"Unspecified adult maltreatment, suspected, initial encounter"
T76.92,"Unspecified child maltreatment, suspected"
T76.92XA,"Unspecified child maltreatment, suspected, initial encounter"
T78,"Adverse effects, not elsewhere classified"
T78.01,Anaphylactic reaction due to peanuts
T78.8,"Other adverse effects, not elsewhere classified"
T78.8XXA,"Other adverse effects, not elsewhere classified, initial encounter"
T79,"Certain early complications of trauma, not elsewhere classified"
T79.4,Traumatic shock
T79.8,Other early complications of trauma
T79.8XXA,"Other early complications of trauma, initial encounter"
T79.9,Unspecified early complication of trauma
T79.9XXA,"Unspecified early complication of trauma, initial encounter"
T79.9XXD,"Unspecified early complication of trauma, subsequent encounter"
T79.9XXS,"Unspecified early complication of trauma, sequela"
T79.A29,Traumatic compartment syndrome of unspecified lower extremity
T80.211,Bloodstream infection due to central venous catheter
T81.3,"Disruption of wound, not elsewhere classified"
T81.30,"Disruption of wound, unspecified"
T81.32XA,"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter"
T83.02,Displacement of urinary catheter
T84.02,Dislocation of internal joint prosthesis
T84.020,Dislocation of internal right hip prosthesis
T84.029,Dislocation of unspecified internal joint prosthesis
T85.698A,"Other mechanical complication of other specified internal prosthetic devices, implants and grafts, initial encounter"
T85.9XXA,"Unspecified complication of internal prosthetic device, implant and graft, initial encounter"
T86.822,Skin graft (allograft) (autograft) infection
T87.4,Infection of amputation stump
T88,"Other complications of surgical and medical care, not elsewhere classified"
T88.8,"Other specified complications of surgical and medical care, not elsewhere classified"
T88.9,"Complication of surgical and medical care, unspecified"
V00,Pedestrian conveyance accident
V00.0,Pedestrian on foot injured in collision with pedestrian conveyance
V00.01,Pedestrian on foot injured in collision with roller-skater
V00.031,Pedestrian on foot injured in collision with rider of standing electric scooter
V00.031A,"Pedestrian on foot injured in collision with rider of standing electric scooter, initial encounter"
V00.09,Pedestrian on foot injured in collision with other pedestrian conveyance
V00.1,Rolling-type pedestrian conveyance accident
V00.11,In-line roller-skate accident
V00.111,Fall from in-line roller-skates
V00.12,Non-in- line roller-skate accident
V00.121,Fall from non-in-line roller-skates
V00.122,Non-in-line roller-skater colliding with stationary object
V00.128,Other non-in-line roller-skating accident
V00.13,Skateboard accident
V00.131,Fall from skateboard
V00.132,Skateboarder colliding with stationary object
V00.138,Other skateboard accident
V00.14,Scooter (nonmotorized) accident
V00.141,Fall from scooter (nonmotorized)
V00.141A,"Fall from scooter (nonmotorized), initial encounter"
V00.142,Scooter (nonmotorized) colliding with stationary object
V00.148,Other scooter (nonmotorized) accident
V00.148A,"Other scooter (nonmotorized) accident, initial encounter"
V00.15,Heelies accident
V00.151,Fall from heelies
V00.158,Other heelies accident
V00.18,Accident on other rolling-type pedestrian conveyance
V00.181,Fall from other rolling-type pedestrian conveyance
V00.181A,"Fall from other rolling-type pedestrian conveyance, initial encounter"
V00.182,Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object
V00.188,Other accident on other rolling-type pedestrian conveyance
V00.2,Gliding-type pedestrian conveyance accident
V00.21,Ice-skates accident
V00.211,Fall from ice-skates
V00.212,Ice-skater colliding with stationary object
V00.218,Other ice-skates accident
V00.22,Sled accident
V00.221,Fall from sled
V00.222,Sledder colliding with stationary object
V00.228,Other sled accident
V00.281,Fall from other gliding-type pedestrian conveyance
V00.3,Flat-bottomed pedestrian conveyance accident
V00.31,Snowboard accident
V00.311,Fall from snowboard
V00.312,Snowboarder colliding with stationary object
V00.318,Other snowboard accident
V00.32,Snow-ski accident
V00.321,Fall from snow-skis
V00.322,Snow-skier colliding with stationary object
V00.328,Other snow-ski accident
V00.38,Other flat-bottomed pedestrian conveyance accident
V00.381,Fall from other flat-bottomed pedestrian conveyance
V00.382,Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object
V00.388,Other accident on other flat-bottomed pedestrian conveyance
V00.8,Accident on other pedestrian conveyance
V00.81,Accident with wheelchair (powered)
V00.811,Fall from moving wheelchair (powered)
V00.811A,"Fall from moving wheelchair (powered), initial encounter"
V00.812,Wheelchair (powered) colliding with stationary object
V00.818,Other accident with wheelchair (powered)
V00.82,Accident with baby stroller
V00.821,Fall from baby stroller
V00.822,Baby stroller colliding with stationary object
V00.828,Other accident with baby stroller
V00.83,Accident with motorized mobility scooter
V00.831,Fall from motorized mobility scooter
V00.831A,"Fall from motorized mobility scooter, initial encounter"
V00.832,Motorized mobility scooter colliding with stationary object
V00.838,Other accident with motorized mobility scooter
V00.838D,"Other accident with motorized mobility scooter, subsequent encounter"
V00.84,Accident with standing micro-mobility pedestrian conveyance
V00.841,Fall from standing electric scooter
V00.841A,"Fall from standing electric scooter, initial encounter"
V00.848A,"Other accident with standing micro-mobility pedestrian conveyance, initial encounter"
V00.89,Accident on other pedestrian conveyance
V00.891,Fall from other pedestrian conveyance
V00.898,Other accident on other pedestrian conveyance
V00.898A,"Other accident on other pedestrian conveyance, initial encounter"
V01,Pedestrian injured in collision with pedal cycle
V01.0,Pedestrian injured in collision with pedal cycle in nontraffic accident
V01.00,Pedestrian on foot injured in collision with pedal cycle in nontraffic accident
V01.00XA,"Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, initial encounter"
V01.09,Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident
V01.1,Pedestrian injured in collision with pedal cycle in traffic accident
V01.10,Pedestrian on foot injured in collision with pedal cycle in traffic accident
V01.10XA,"Pedestrian on foot injured in collision with pedal cycle in traffic accident, initial encounter"
V01.19,Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident
V01.9,"Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident"
V01.90,"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident"
V02,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V02.0,Pedestrian injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V02.00,Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V02.09,Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V02.1,Pedestrian injured in collision with two- or three-wheeled motor vehicle in traffic accident
V02.10,Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident
V02.10XA,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V02.19,Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident
V02.9,"Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident"
V02.90,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident"
V03,"Pedestrian injured in collision with car, pick-up truck or van"
V03.0,"Pedestrian injured in collision with car, pick-up truck or van in nontraffic accident"
V03.00,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident"
V03.00XA,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V03.01,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident"
V03.02,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident"
V03.09,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident"
V03.1,"Pedestrian injured in collision with car, pick-up truck or van in traffic accident"
