eSituation_12,DiagnosisCodeDescr
F02.80,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02.81,"Dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance"
F02.811,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation"
F02.818,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance"
F02.A18,"Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance"
F02.C3,"Dementia in other diseases classified elsewhere, severe, with mood disturbance"
F03,Unspecified dementia
F03.9,"Unspecified dementia, unspecified severity"
F03.90,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03.91,"Unspecified dementia, unspecified severity, with behavioral disturbance"
F03.911,"Unspecified dementia, unspecified severity, with agitation"
F03.918,"Unspecified dementia, unspecified severity, with other behavioral disturbance"
F03.B18,"Unspecified dementia, moderate, with other behavioral disturbance"
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F06,Other mental disorders due to known physiological condition
F06.0,Psychotic disorder with hallucinations due to known physiological condition
F06.1,Catatonic disorder due to known physiological condition
F06.2,Psychotic disorder with delusions due to known physiological condition
F06.30,"Mood disorder due to known physiological condition, unspecified"
F06.32,Mood disorder due to known physiological condition with major depressive-like episode
F06.4,Anxiety disorder due to known physiological condition
F06.8,Other specified mental disorders due to known physiological condition
F07,Personality and behavioral disorders due to known physiological condition
F07.0,Personality change due to known physiological condition
F07.8,Other personality and behavioral disorders due to known physiological condition
F07.89,Other personality and behavioral disorders due to known physiological condition
F07.9,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F10,Alcohol related disorders
F10.1,Alcohol abuse
F10.10,"Alcohol abuse, uncomplicated"
F10.12,Alcohol abuse with intoxication
F10.120,"Alcohol abuse with intoxication, uncomplicated"
F10.121,Alcohol abuse with intoxication delirium
F10.129,"Alcohol abuse with intoxication, unspecified"
F10.13,"Alcohol abuse, with withdrawal"
F10.130,"Alcohol abuse with withdrawal, uncomplicated"
F10.131,Alcohol abuse with withdrawal delirium
F10.139,"Alcohol abuse with withdrawal, unspecified"
F10.14,Alcohol abuse with alcohol-induced mood disorder
F10.15,Alcohol abuse with alcohol-induced psychotic disorder
F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
F10.18,Alcohol abuse with other alcohol-induced disorders
F10.180,Alcohol abuse with alcohol-induced anxiety disorder
F10.182,Alcohol abuse with alcohol-induced sleep disorder
F10.188,Alcohol abuse with other alcohol-induced disorder
F10.19,Alcohol abuse with unspecified alcohol-induced disorder
F10.2,Alcohol dependence
F10.20,"Alcohol dependence, uncomplicated"
F10.22,Alcohol dependence with intoxication
F10.220,"Alcohol dependence with intoxication, uncomplicated"
F10.229,"Alcohol dependence with intoxication, unspecified"
F10.23,Alcohol dependence with withdrawal
F10.230,"Alcohol dependence with withdrawal, uncomplicated"
F10.231,Alcohol dependence with withdrawal delirium
F10.239,"Alcohol dependence with withdrawal, unspecified"
F10.25,Alcohol dependence with alcohol-induced psychotic disorder
F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
F10.27,Alcohol dependence with alcohol-induced persisting dementia
F10.280,Alcohol dependence with alcohol-induced anxiety disorder
F10.288,Alcohol dependence with other alcohol-induced disorder
F10.9,"Alcohol use, unspecified"
F10.90,"Alcohol use, unspecified, uncomplicated"
F10.92,"Alcohol use, unspecified with intoxication"
F10.920,"Alcohol use, unspecified with intoxication, uncomplicated"
F10.921,"Alcohol use, unspecified with intoxication delirium"
F10.929,"Alcohol use, unspecified with intoxication, unspecified"
F10.93,"Alcohol use, unspecified with withdrawal"
F10.939,"Alcohol use, unspecified with withdrawal, unspecified"
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia"
F10.98,"Alcohol use, unspecified with other alcohol-induced disorders"
F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
F10.988,"Alcohol use, unspecified with other alcohol-induced disorder"
F10.99,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
F11,Opioid related disorders
F11.1,Opioid abuse
F11.10,"Opioid abuse, uncomplicated"
F11.12,Opioid abuse with intoxication
F11.120,"Opioid abuse with intoxication, uncomplicated"
F11.122,Opioid abuse with intoxication with perceptual disturbance
F11.129,"Opioid abuse with intoxication, unspecified"
F11.13,Opioid abuse with withdrawal
F11.18,Opioid abuse with other opioid-induced disorder
F11.19,Opioid abuse with unspecified opioid-induced disorder
F11.2,Opioid dependence
F11.20,"Opioid dependence, uncomplicated"
F11.222,Opioid dependence with intoxication with perceptual disturbance
F11.229,"Opioid dependence with intoxication, unspecified"
F11.23,Opioid dependence with withdrawal
F11.9,"Opioid use, unspecified"
F11.90,"Opioid use, unspecified, uncomplicated"
F11.92,"Opioid use, unspecified with intoxication"
F11.920,"Opioid use, unspecified with intoxication, uncomplicated"
F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance"
F11.929,"Opioid use, unspecified with intoxication, unspecified"
F11.93,"Opioid use, unspecified with withdrawal"
F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder"
F12,Cannabis related disorders
F12.1,Cannabis abuse
F12.10,"Cannabis abuse, uncomplicated"
F12.12,Cannabis abuse with intoxication
F12.120,"Cannabis abuse with intoxication, uncomplicated"
F12.129,"Cannabis abuse with intoxication, unspecified"
F12.13,Cannabis abuse with withdrawal
F12.151,Cannabis abuse with psychotic disorder with hallucinations
F12.180,Cannabis abuse with cannabis-induced anxiety disorder
F12.19,Cannabis abuse with unspecified cannabis-induced disorder
F12.2,Cannabis dependence
F12.20,"Cannabis dependence, uncomplicated"
F12.251,Cannabis dependence with psychotic disorder with hallucinations
F12.280,Cannabis dependence with cannabis-induced anxiety disorder
F12.9,"Cannabis use, unspecified"
F12.90,"Cannabis use, unspecified, uncomplicated"
F12.92,"Cannabis use, unspecified with intoxication"
F12.920,"Cannabis use, unspecified with intoxication, uncomplicated"
F12.929,"Cannabis use, unspecified with intoxication, unspecified"
F12.93,"Cannabis use, unspecified with withdrawal"
F12.951,"Cannabis use, unspecified with psychotic disorder with hallucinations"
F12.98,"Cannabis use, unspecified with other cannabis-induced disorder"
F12.980,"Cannabis use, unspecified with anxiety disorder"
F12.99,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
F13,"Sedative, hypnotic, or anxiolytic related disorders"
F13.1,"Sedative, hypnotic or anxiolytic-related abuse"
F13.10,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F13.12,"Sedative, hypnotic or anxiolytic abuse with intoxication"
F13.129,"Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
F13.15,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13.2,"Sedative, hypnotic or anxiolytic-related dependence"
F13.20,"Sedative, hypnotic or anxiolytic dependence, uncomplicated"
F13.22,"Sedative, hypnotic or anxiolytic dependence with intoxication"
F13.23,"Sedative, hypnotic or anxiolytic dependence with withdrawal"
F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
F13.9,"Sedative, hypnotic or anxiolytic-related use, unspecified"
F13.90,"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
F13.92,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication"
F13.920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
F13.921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
F13.929,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
F13.93,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F13.980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13.982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13.988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
F13.99,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F14,Cocaine related disorders
F14.1,Cocaine abuse
F14.10,"Cocaine abuse, uncomplicated"
F14.12,Cocaine abuse with intoxication
F14.120,"Cocaine abuse with intoxication, uncomplicated"
F14.121,Cocaine abuse with intoxication with delirium
F14.129,"Cocaine abuse with intoxication, unspecified"
F14.13,"Cocaine abuse, unspecified with withdrawal"
F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions
F14.159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
F14.2,Cocaine dependence
F14.20,"Cocaine dependence, uncomplicated"
F14.23,Cocaine dependence with withdrawal
F14.9,"Cocaine use, unspecified"
F14.90,"Cocaine use, unspecified, uncomplicated"
F14.920,"Cocaine use, unspecified with intoxication, uncomplicated"
F14.921,"Cocaine use, unspecified with intoxication delirium"
F14.929,"Cocaine use, unspecified with intoxication, unspecified"
F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder"
F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
F14.99,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
F15,Other stimulant related disorders
F15.1,Other stimulant abuse
F15.10,"Other stimulant abuse, uncomplicated"
F15.12,Other stimulant abuse with intoxication
F15.120,"Other stimulant abuse with intoxication, uncomplicated"
F15.121,Other stimulant abuse with intoxication delirium
F15.122,Other stimulant abuse with intoxication with perceptual disturbance
F15.129,"Other stimulant abuse with intoxication, unspecified"
F15.13,Other stimulant abuse with withdrawal
F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
F15.151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
F15.2,Other stimulant dependence
F15.20,"Other stimulant dependence, uncomplicated"
F15.229,"Other stimulant dependence with intoxication, unspecified"
F15.23,Other stimulant dependence with withdrawal
F15.29,Other stimulant dependence with unspecified stimulant-induced disorder
F15.9,"Other stimulant use, unspecified"
F15.90,"Other stimulant use, unspecified, uncomplicated"
F15.92,"Other stimulant use, unspecified with intoxication"
F15.920,"Other stimulant use, unspecified with intoxication, uncomplicated"
F15.921,"Other stimulant use, unspecified with intoxication delirium"
F15.929,"Other stimulant use, unspecified with intoxication, unspecified"
F15.93,"Other stimulant use, unspecified with withdrawal"
F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
F15.99,"Other stimulant use, unspecified with unspecified stimulant-induced disorder"
F16,Hallucinogen related disorders
F16.1,Hallucinogen abuse
F16.10,"Hallucinogen abuse, uncomplicated"
F16.12,Hallucinogen abuse with intoxication
F16.120,"Hallucinogen abuse with intoxication, uncomplicated"
F16.129,"Hallucinogen abuse with intoxication, unspecified"
F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
F16.20,"Hallucinogen dependence, uncomplicated"
F16.29,Hallucinogen dependence with unspecified hallucinogen-induced disorder
F16.9,"Hallucinogen use, unspecified"
F16.90,"Hallucinogen use, unspecified, uncomplicated"
F16.929,"Hallucinogen use, unspecified with intoxication, unspecified"
F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
F16.99,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
F17,Nicotine dependence
F17.2,Nicotine dependence
F17.203,"Nicotine dependence unspecified, with withdrawal"
F17.29,"Nicotine dependence, other tobacco product"
F18,Inhalant related disorders
F18.1,Inhalant abuse
F18.10,"Inhalant abuse, uncomplicated"
F18.120,"Inhalant abuse with intoxication, uncomplicated"
F18.129,"Inhalant abuse with intoxication, unspecified"
F18.159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
F18.180,Inhalant abuse with inhalant-induced anxiety disorder
F18.2,Inhalant dependence
F18.9,"Inhalant use, unspecified"
F18.90,"Inhalant use, unspecified, uncomplicated"
F18.920,"Inhalant use, unspecified with intoxication, uncomplicated"
F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
F18.99,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
F19,Other psychoactive substance related disorders
F19.1,Other psychoactive substance abuse
F19.10,"Other psychoactive substance abuse, uncomplicated"
F19.12,Other psychoactive substance abuse with intoxication
F19.121,Other psychoactive substance abuse with intoxication delirium
F19.129,"Other psychoactive substance abuse with intoxication, unspecified"
F19.13,Other psychoactive substance abuse with withdrawal
F19.15,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder
F19.159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
